"id","sourceTitle","baseTitle","displayTitle","language","primaryArtists","featuredArtists","remixers","versionType","versionName","versionStatus","sourceName","sourceUrl"
"11-b1ab50f6bd","1+1","1+1","1+1","es","Maluma;Kany García","","","","","","",""
"abracadabra-bb79c22368","Abracadabra","Abracadabra","Abracadabra","en","Lady Gaga","","","","","","",""
"aleale-0b7563c0ba","Ale Ale","Ale ale","Ale ale","es","Marc Anthony","","","","","","",""
"algotu-79819abf32","Algo Tú","Algo tú","Algo tú","es","Shakira;Beéle","","","","","","",""
"alibi-5144249763","Alibi","Alibi","Alibi","multilingual","Sevdaliza;Pabllo Vittar;Yseult","","","","","","",""
"amante-738a8171be","Amante","Amante","Amante","es","Charly & Johayron;Roberto Ferrante;El Bandolero","","","","","","",""
"amediovivir-cfcb991751","A Medio Vivir","A medio vivir","A medio vivir","es","Ricky Martin;Carin León","","","","","","",""
"amorbonito-6a6df413a4","Amor Bonito","Amor bonito","Amor bonito","es","Kany García;Juan Luis Guerra","","","","","","",""
"angelodemonio-1ba583ac9c","Angel o Demonio","Angel o demonio","Angel o demonio","es","Yuly y Havana C","","","","","","",""
"antesqueeltiemposevaya-581f5f1a29","Antes Que El Tiempo Se Vaya","Antes que el tiempo se vaya","Antes que el tiempo se vaya","es","Fonseca;Juanes","","","","","","",""
"apt-aa4359c93f","APT.","APT.","APT.","multilingual","ROSÉ;Bruno Mars","","","","","","",""
"asicomoyo-0146c89ab8","Asi Como Yo","Asi como yo","Asi como yo","es","Lenier;Nacho","","","","","","",""
"asieslavida-512b6e244f","ASI ES LA VIDA","Asi es la vida","Asi es la vida","es","Enrique Iglesias;Maria Becerra","","","","","","",""
"azizam-2ccfa1c603","Azizam","Azizam","Azizam","en","Ed Sheeran","","","","","","",""
"bailandoconlosvanvan-5976ae4159","Bailando con los Van Van","Bailando con los Van Van","Bailando con los Van Van","es","Son Dos;Formell y Los Van Van","","","","","","",""
"bailandosuave-3b016b3ed0","Bailando Suave","Bailando suave","Bailando suave","es","Charly & Johayron;Roberto Ferrante","","","","","","",""
"beautifulthings-76867bed2c","Beautiful Things","Beautiful Things","Beautiful Things","en","Benson Boone","","","","","","",""
"besitoenlafrente-6e3478d6f1","Besito en la Frente","Besito en la frente","Besito en la frente","es","Rauw Alejandro","","","","","","",""
"blablabla-b04f4e20be","Bla, Bla, Bla","Bla, bla, bla","Bla, bla, bla","es","Formell y Los Van Van","","","","","","",""
"bonita-1fa820b1b1","Bonita","Bonita","Bonita","es","Srta. Dayana","","","","","","",""
"bonita-7e06d87ca1","Bonita","Bonita","Bonita","es","Daddy Yankee","","","","","","",""
"bringyourlove-3e36d7d001","Bring your love","Bring your love","Bring your love","en","Madonna;Sabrina Carpenter","","","","","","",""
"bzrpmusicsessionsvol61-3f2dc8046c","Bzrp Music Sessions, Vol. 61","Bzrp Music Sessions, Vol. 61","Bzrp Music Sessions, Vol. 61","es","Bizarrap;Luck Ra","","","","","","",""
"bzrpmusicsessionsvol66-8732f5859a","Bzrp Music Sessions, Vol. 66","Bzrp Music Sessions, Vol. 66","Bzrp Music Sessions, Vol. 66","es","Bizarrap;Daddy Yankee","","","","","","",""
"cambiare-d875320356","Cambiaré","Cambiaré","Cambiaré","es","Luis Fonsi;Feid","","","","","","",""
"cantgetenough-871400f78e","Can't Get Enough","Can't Get Enough","Can't Get Enough","en","Jennifer Lopez","","","","","","",""
"caritatriste-b08e70e7e1","CARITA TRISTE","CARITA TRISTE","CARITA TRISTE","es","Ana Mena;Emilia","","","","","","",""
"catalina-3a0e88846e","Catalina","Catalina","Catalina","es","Cimafunk;Monsieur Periné","","","","","","",""
"chaochaito-d8bf7e7644","Chao Chaíto","Chao chaíto","Chao chaíto","es","Yuly y Havana C;Fransiskito el King","","","","","","",""
"chevere-127f7d0fe4","CHÉVERE","CHÉVERE","CHÉVERE","es","ARIA VEGA;Ryan Castro","","","","","","",""
"cogelosuave-2141857326","Cógelo Suave","Cógelo suave","Cógelo suave","es","Leoni Torres;Javier Columbié","","","","","","",""
"comenzardenuevo-112540cc75","Comenzar De Nuevo","Comenzar de nuevo","Comenzar de nuevo","es","Nicky Jam","","","","","","",""
"comoenelidilio-de1af4f95a","Como En El Idilio","Como en el idilio","Como en el idilio","es","Marc Anthony;Nathy Peluso","","","","","","",""
"comolaflor-01eb8b9e16","Como la flor","Como la flor","Como la flor","es","Play-N-Skillz;Natti Natasha;Deorro","","","","","","",""
"comonadie-cc168e1b76","Como Nadie","Como nadie","Como nadie","es","Wil Campa","","","","","","",""
"contigo-0937d7804b","CONTIGO","CONTIGO","CONTIGO","es","KAROL G;Tiësto","","","","","","",""
"cosaspendientes-19b5711dc3","Cosas Pendientes","Cosas pendientes","Cosas pendientes","es","Maluma","","","","","","",""
"cositalinda-c97d0ed8fa","Cosita Linda","Cosita linda","Cosita linda","es","Elena Rose;Justin Quiles","","","","","","",""
"cualquierasalsaversion-35bbdc0b45","Cualquiera (Salsa Version)","Cualquiera","Cualquiera (versión salsa)","es","Srta. Dayana","","","version","salsa","","",""
"cuentale-8216aa7188","Cuéntale","Cuéntale","Cuéntale","es","Bryan Sánchez","","","","","","",""
"cumbiadelosamigos-bdfca40685","Cumbia De Los Amigos","Cumbia de los amigos","Cumbia de los amigos","es","Orquesta Failde;La Sonora Dinamita","","","","","","",""
"cupr-151fc14e7f","Cu-Pr","Cu-Pr","Cu-Pr","es","Havana D’Primera;Gilberto Santa Rosa","","","","","","",""
"daidai-bce248570a","Dai Dai","Dai dai","Dai dai","multilingual","Shakira;Burna Boy","","","","","","",""
"dalmation-ec0a1e6f39","Dalmation","Dalmation","Dalmation","es","J Balvin;Ryan Castro","","","","","","",""
"dandovueltas-61ea5b6f1f","Dando Vueltas","Dando vueltas","Dando vueltas","es","Rauw Alejandro","","","","","","",""
"dardos-1a820a379a","Dardos","Dardos","Dardos","es","Romeo Santos;Prince Royce","","","","","","",""
"dembow-e7c0653837","Dem Bow","Dem bow","Dem bow","es","Natti Natasha;Nando Boom","","","","","","",""
"desire-b900629306","Desire","Desire","Desire","en","Calvin Harris;Sam Smith","","","","","","",""
"diamante-0ccb388dbf","Diamante","Diamante","Diamante","es","Timø;Cardellino","","","","","","",""
"diewithasmile-48d8a6a8fc","Die With A Smile","Die With A Smile","Die With A Smile","en","Lady Gaga;Bruno Mars","","","","","","",""
"dilealamor-563b60e9a8","Dile Al Amor","Dile al amor","Dile al amor","es","Charanga Latina;Joseito CG","","","","","","",""
"disculpemesenor-a3dec0c6bf","Discúlpeme Señor","Discúlpeme señor","Discúlpeme señor","es","Greeicy","","","","","","",""
"doctorworkitout-428bd0cf68","Doctor (Work It Out)","Doctor (Work It Out)","Doctor (Work It Out)","en","Pharrell Williams;Miley Cyrus","","","","","","",""
"dondeestabas-fdb3c1f87c","¿Dónde Estabas?","¿Dónde estabas?","¿Dónde estabas?","es","Tito El Bambino;Silvestre Dangond","","","","","","",""
"efectossecundarios-be86986c97","Efectos Secundarios","Efectos secundarios","Efectos secundarios","es","Silvestre Dangond;Elena Rose","","","","","","",""
"efimero-228d78e0fc","Efímero","Efímero","Efímero","es","Greeicy","","","","","","",""
"elamorqueespere-86e71a5cbb","El Amor Que Espere","El amor que espere","El amor que espere","es","Leoni Torres;Eddy K;Mauro El Codigo Secreto","","","","","","",""
"elchiquitico-b9b4ac9465","El Chiquitico","El chiquitico","El chiquitico","es","Orquesta Failde","","","","","","",""
"elcielo-6db5846b8d","El Cielo","El cielo","El cielo","es","Tini","","","","","","",""
"eldoctorado-76d58b8d11","El Doctorado","El doctorado","El doctorado","es","Massimo Ferrara;Los 4","","","","","","",""
"elwhatsapp-7a05174f95","El WhatsApp","El WhatsApp","El WhatsApp","es","Elito Revé y su Charangón;El Dray","","","","","","",""
"enemigos-2ec35ea6eb","Enemigos","Enemigos","Enemigos","es","Ozuna;Beéle;Ovy On The Drums","","","","","","",""
"enhorabuena-9681e08a8b","Enhorabuena","Enhorabuena","Enhorabuena","es","Manuel Turizo","","","","","","",""
"enotravidacomoesta-e106965a3a","En Otra Vida Como Esta","En otra vida como esta","En otra vida como esta","es","Diana Fuentes","","","","","","",""
"enprivado-5ab8bfd761","En Privado","En privado","En privado","es","Xavi;Manuel Turizo","","","","","","",""
"esebesito-43c3ba862c","Ese Besito","Ese besito","Ese besito","es","Melanie Santiler;Cimafunk","","","","","","",""
"espresso-850bade631","Espresso","Espresso","Espresso","en","Sabrina Carpenter","","","","","","",""
"exexex-4a717da72c","Ex Ex Ex","Ex ex ex","Ex ex ex","es","Aitana;Kenia Os","","","","","","",""
"farandula-cf2bfc3eb2","Farándula","Farándula","Farándula","es","Yuly y Havana C","","","","","","",""
"fiestando-faff8dfb4b","Fiestando","Fiestando","Fiestando","es","Gitanos","","","","","","",""
"fortnightcyrilremix-227943921e","Taylor Swift - Fortnight (Feat. Post Malone) (CYRIL REMIX)","Fortnight","Fortnight (remezcla de CYRIL)","en","Taylor Swift","Post Malone","CYRIL","remix","CYRIL","independent","SoundCloud","https://soundcloud.com/cyrilriley/taylor-swift-fortnight-feat-post-malone-cyril-remix"
"fueculpadeusted-94bf8fc961","Fue Culpa De Usted","Fue culpa de usted","Fue culpa de usted","es","Moa Rivera;Lenier","","","","","","",""
"fuerafuera-7146038232","Fuera Fuera","Fuera fuera","Fuera fuera","es","La India;Jacob Forever","","","","","","",""
"gabriela-cb45e3ba49","Gabriela","Gabriela","Gabriela","multilingual","Katseye","","","","","","",""
"gimmelove-5ece9463b7","Gimme Love","Gimme Love","Gimme Love","en","Sia","","","","","","",""
