"songId","authors","youtube","spotify"
"11-b1ab50f6bd","Rafa Arcaute;Juan Luis Londoño Arias;Encarnita García De Jesús;Jonathan Rivera;Giencarlos Rivera;Jose Daniel Zapata;Juan Esteban Zapata;Andrés Uribe Marín;Richi López","https://www.youtube.com/watch?v=jo5xZXkrwWc",""
"abracadabra-bb79c22368","Lady Gaga","https://www.youtube.com/watch?v=vBynw9Isr28",""
"aleale-0b7563c0ba","Marc Anthony;Sergio George;Álvaro Lenier Mesa Basulto;Nadir Khayat;Etienne Boue-Bi Kohou;Adil Khayat;Bilal Hajji;John Mamann;Salif Traore;Alexander Dimitrios Papaconstantinou;Adama Fanny;Narcisse Sodoua","https://www.youtube.com/watch?v=CpeC44KTHFU",""
"algotu-79819abf32","Ejae;Mark Sonnenblick","https://www.youtube.com/watch?v=mXz8F1Yjy9I",""
"alibi-5144249763","Sevda Alizadeh;Mathias Janmaat;Reynard Bargmann","https://www.youtube.com/watch?v=qVqFuokjRMc",""
"amante-738a8171be","Carlos de Jesús Coronado Chirino;Roberto Johayron Amores Rodríguez","https://www.youtube.com/watch?v=C7fdUBbEIog",""
"amediovivir-cfcb991751","Franco De Vita","https://www.youtube.com/watch?v=55n93nKRM2A",""
"amorbonito-6a6df413a4","Kany García;Richi López;Rafa Arcaute;Manuel Lorente Freire","https://www.youtube.com/watch?v=MSFGno4v7_Y",""
"angelodemonio-1ba583ac9c","Yuleisis Greenidge","https://www.youtube.com/watch?v=C8Djo7SPzlw",""
"antesqueeltiemposevaya-581f5f1a29","Juan Fernando Fonseca Carrera;Juan Esteban Aristizábal Vásquez;Felipe Andy Clay Cruz","https://www.youtube.com/watch?v=MMjG1pb3RiY",""
"apt-aa4359c93f","Rosé;Amy Allen;Rogét Chahayed;Theron Thomas;Cirkut;Omer Fedi;Bruno Mars;Philip Lawrence;Brody Brown;Nicky Chinn;Mike Chapman;Șerban Ghenea","https://www.youtube.com/watch?v=ekr2nIex040",""
"asicomoyo-0146c89ab8","Álvaro Lenier Mesa Basulto;Miguel Ignacio Mendoza;Mauro Silvino Bertran;Jordany González Mora","https://www.youtube.com/watch?v=VJPbxlynSHs",""
"asieslavida-512b6e244f","Enrique Iglesias;Maria Becerra;Descemer Bueno;Omi Hernández","https://www.youtube.com/watch?v=XUoXE3bmDJY",""
"azizam-2ccfa1c603","Ed Sheeran;Ilya Salmanzadeh;Johnny McDaid;Savan Kotecha","https://www.youtube.com/watch?v=MI9ZpIKgyf0",""
"bailandoconlosvanvan-5976ae4159","Yaser De La Peña;Rafael De Tena","https://www.youtube.com/watch?v=j3uqrPzMdSE",""
"bailandosuave-3b016b3ed0","Carlos de Jesús Coronado Chirino;Roberto Johayron Amores Rodríguez;Roberto Ferrante","https://www.youtube.com/watch?v=F1aLiDCFugs",""
"beautifulthings-76867bed2c","Benson Boone;Jack LaFrantz;Evan Blair","https://www.youtube.com/watch?v=Oa_RSwwpPaA",""
"besitoenlafrente-6e3478d6f1","Raúl Alejandro Ocasio Ruiz;Dulce Como Candy","https://www.youtube.com/watch?v=1Kc2sZNyWT0",""
"blablabla-b04f4e20be","Roberto Hernández","https://www.youtube.com/watch?v=MD_KUv4XKyc",""
"bonita-1fa820b1b1","Dayana Chavez Victoria;Carlos J. Lara Garcia","https://www.youtube.com/watch?v=dsAS17OEOR8",""
"bonita-7e06d87ca1","Ramón Luis Ayala Rodríguez","https://www.youtube.com/watch?v=6OQpVBnBU2I",""
"bringyourlove-3e36d7d001","Madonna;Stuart Price;Roy Holman;Shanna Jackson;Kevin Saunderson","https://www.youtube.com/watch?v=EHrt-gFgvXo",""
"bzrpmusicsessionsvol61-3f2dc8046c","Gonzalo Julián Conde;Juan Facundo Almerena Ordóñez;Renzo Luca;Santiago Alvarado;Paulo Ezequiel Dybala","https://www.youtube.com/watch?v=GJtrE-SLtZA",""
"bzrpmusicsessionsvol66-8732f5859a","Daddy Yankee;Gonzalo Julián Conde;Santiago Alvarado","https://www.youtube.com/watch?v=qNw8ejrI0nM",""
"cambiare-d875320356","Andrés Torres;Mauricio Rengifo;Luis A. Rodríguez López-Cepero;Salomón Villada Hoyos","https://www.youtube.com/watch?v=q-mWC7xuuEA",""
"cantgetenough-871400f78e","Jennifer Lopez;Atia Boggs;Rogét Chahayed;Dennis Coffey;Christopher Dotson;Alton Ellis;Jeff Gitelman;Chauncey Hollis Jr.;Angel Lopez;Andrew Neely","https://www.youtube.com/watch?v=8UMnAIaBofo",""
