"date","number","category","rank","songId"
"2026-08-30","33","national","1","elchiquitico-b9b4ac9465"
"2026-08-30","33","national","2","nohepodidoolvidarte-8a65d99de0"
"2026-08-30","33","national","3","namore-a9143f5cf2"
"2026-08-30","33","national","4","cogelosuave-2141857326"
"2026-08-30","33","national","5","sinofueraporti-650a0054d2"
"2026-08-30","33","national","6","eldoctorado-76d58b8d11"
"2026-08-30","33","national","7","vuelvoaseryo-7603b2a16b"
"2026-08-30","33","national","8","tutienesalgo-f736eae719"
"2026-08-30","33","national","9","farandula-cf2bfc3eb2"
"2026-08-30","33","national","10","mikaela-d705860dec"
"2026-08-30","33","international","1","antesqueeltiemposevaya-581f5f1a29"
"2026-08-30","33","international","2","savemetonight-57c69ff712"
"2026-08-30","33","international","3","unanamas-dacddd8a79"
"2026-08-30","33","international","4","bringyourlove-3e36d7d001"
"2026-08-30","33","international","5","tehacenfaltados-39cb9c7329"
"2026-08-30","33","international","6","patitoa3-d542f2e175"
"2026-08-30","33","international","7","efectossecundarios-be86986c97"
"2026-08-30","33","international","8","chevere-127f7d0fe4"
"2026-08-30","33","international","9","asi-e5c7638841"
"2026-08-30","33","international","10","dlejitos-f223412b49"
